Year,Semester,Course ID,Section,Name,Course Name,Response Rate %,Hrs Per Week,Overall course rate
2020,Spring,93717,A4,"ROSENBERG, STACY",WRTG CREAT INDUS,70,5.71,3.12
2020,Spring,93732,A3,"MOORE, KARYN",DB THRY PRC CRTV ENT,68,9.23,4.68
2020,Spring,93804,A4,"POULIN, JEFF",ARTS IN EDUCATION,62,6.8,4
2020,Spring,93807,A3,"DONALDSON, LESLIE",MUSEUM OPERATIONS,54,7,4.17
2020,Spring,93812,A4,"MILLER, RANDAL",PRES PERF ART & FEST,66,6.75,3.33
2020,Spring,93815,A4,"CRAWFORD, BRETT",AUD ENGAGEMNT & PART,70,5.79,4.63
2020,Spring,93821,A3,"CRAWFORD, BRETT",EXT REL: ARTS MKT PR,84,8.15,4.11
2020,Spring,93826,A3,"MCMAHON, JAMES",EXT REL: FUN IND GIV,76,5.78,3.65
2020,Spring,93827,A4,"DONALDSON, LESLIE",EXT REL: FUN INS GIV,68,6.65,4.65
2020,Spring,93844,A3,"BERLIN, LIZ",LIVE MUS TOUR REV ST,58,10.14,3.14
2020,Spring,93846,A4,"DONALDSON, LESLIE",CULTURAL PLCY ADVCY,40,10.25,4.75
2020,Spring,48026,A,"WORKINGER, HEATHER",FRST YR SEM:ARCH ED,37,4.43,3.67
2020,Spring,48105,B,"QUICK, STEPHEN",ARC DSGN STU: FDT II,20,25.5,4
2020,Spring,48105,A,"MINNERLY, LEE",ARC DSGN STU: FDT II,71,25,3
2020,Spring,48105,C,"MINNERLY, LEE",ARC DSGN STU: FDT II,30,25,4.33
2020,Spring,48105,1,"DAMIANI, GERARD",ARC DSGN STU: FDT II,45,25.27,4
2020,Spring,48105,A,"PERTIERRA, JOSE",ARC DSGN STU: FDT II,71,25,3.6
2020,Spring,48105,C,"PERTIERRA, JOSE",ARC DSGN STU: FDT II,30,26,3.67
2020,Spring,48105,E,"KAPPELT, JENNA",ARC DSGN STU: FDT II,33,25,5
2020,Spring,48105,D,"QUICK, STEPHEN",ARC DSGN STU: FDT II,50,24,4.2
2020,Spring,48105,F,"MOSS, ANDREW",ARC DSGN STU: FDT II,36,21.5,4.5
2020,Spring,48105,D,"RANTTILA, ANNIE",ARC DSGN STU: FDT II,50,24.6,4.6
2020,Spring,48105,B,"MOSS, ANDREW",ARC DSGN STU: FDT II,20,25.5,4
2020,Spring,48105,A,"KAPPELT, JENNA",ARC DSGN STU: FDT II,71,24,3.6
2020,Spring,48105,C,"KAPPELT, JENNA",ARC DSGN STU: FDT II,30,26,4.33
2020,Spring,48105,E,"PERTIERRA, JOSE",ARC DSGN STU: FDT II,33,25,4.67
2020,Spring,48105,E,"MINNERLY, LEE",ARC DSGN STU: FDT II,33,25,5
2020,Spring,48105,B,"RANTTILA, ANNIE",ARC DSGN STU: FDT II,20,25.5,4
2020,Spring,48105,D,"MOSS, ANDREW",ARC DSGN STU: FDT II,50,24,4.6
2020,Spring,48105,F,"QUICK, STEPHEN",ARC DSGN STU: FDT II,36,20.75,4.75
2020,Spring,48105,F,"RANTTILA, ANNIE",ARC DSGN STU: FDT II,36,20.75,3.33
2020,Spring,48205,B,"RODRIGUEZ LADRON DE GUEVARA, Manuel",ARC DSGN STU: EL II,45,25,3.6
2020,Spring,48205,C,"SAWYER, NATHAN",ARC DSGN STU: EL II,81,22.11,4.11
2020,Spring,48205,1,"FICCA, JEREMY",ARC DSGN STU: EL II,48,23.55,4.45
2020,Spring,48205,D,"SPOLIDORO, BEA",ARC DSGN STU: EL II,36,23.25,3.75
